Total cuatrimestres plan,Segundos tiempo de generación,Total Materias disponibles,Total Cursos disponibles,Max cantidad materias por cuatrimestre,Algoritmo
2,0.6886847019195557,21,36,2,GREEDY
4,1.9893569946289062,25,40,2,GREEDY
7,5.4052064418792725,30,54,2,GREEDY
10,13.91212010383606,35,68,2,GREEDY
12,18.90945053100586,39,77,2,GREEDY
13,21.58803415298462,42,84,2,GREEDY
15,32.48957681655884,45,140,2,GREEDY
2,2.0701167583465576,21,36,3,GREEDY
3,4.789319038391113,25,40,3,GREEDY
5,15.157164335250854,30,54,3,GREEDY
7,47.30631685256958,35,68,3,GREEDY
8,56.283966064453125,39,77,3,GREEDY
9,58.43499517440796,42,84,3,GREEDY
10,41.7386417388916,45,140,3,GREEDY
2,0.03869366645812988,21,36,4,GREEDY
3,0.3805716037750244,25,40,4,GREEDY
5,0.8865811824798584,30,54,4,GREEDY
5,0.55861496925354,35,68,4,GREEDY
7,1.8713102340698242,39,77,4,GREEDY
8,1.8019845485687256,42,84,4,GREEDY
9,1.2573232650756836,45,140,4,GREEDY
1,0.01195836067199707,21,36,5,GREEDY
3,0.019728422164916992,25,40,5,GREEDY
4,0.03235220909118652,30,54,5,GREEDY
5,0.033509016036987305,35,68,5,GREEDY
8,0.17118024826049805,39,77,5,GREEDY
9,0.1082465648651123,42,84,5,GREEDY
10,0.13733363151550293,45,140,5,GREEDY
2,13.926651000976562,21,36,2,PLE
4,21.555262804031372,25,40,2,PLE
7,28.496801137924194,30,54,2,PLE
9,61.547693967819214,35,68,2,PLE
11,135.63034009933472,39,77,2,PLE
13,164.04466462135315,42,84,2,PLE
14,666.1587941646576,45,140,2,PLE
2,16.217798233032227,21,36,3,PLE
3,20.567439079284668,25,40,3,PLE
5,38.09005856513977,30,54,3,PLE
6,46.3228497505188,35,68,3,PLE
8,104.95434260368347,39,77,3,PLE
9,165.5000832080841,42,84,3,PLE
10,556.3507051467896,45,140,3,PLE
1,15.28225588798523,21,36,4,PLE
3,16.227593898773193,25,40,4,PLE
4,30.4997980594635,30,54,4,PLE
5,57.2075400352478,35,68,4,PLE
6,66.323801279068,39,77,4,PLE
7,2957.5723798274994,42,84,4,PLE
7,451.77807116508484,45,140,4,PLE
1,19.962901830673218,21,36,5,PLE
2,17.253702402114868,25,40,5,PLE
3,35.20218539237976,30,54,5,PLE
4,62.4781436920166,35,68,5,PLE
5,67.96153092384338,39,77,5,PLE
6,241.07630443572998,42,84,5,PLE
7,293.441867351532,45,140,5,PLE
