CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
28,ANALISIS MATEMATICO,0,CBC,0,
3,FISICA,0,CBC,0,
24,INTRODUCCION AL CONOCIMIENTO DE LA SOCIEDAD Y EL ESTADO,0,CBC,0,
40,INTRODUCCION AL PENSAMIENTO CIENTIFICO,0,CBC,0,
5,QUIMICA,0,CBC,0,
27,ALGEBRA,0,CBC,0,
6103,ANALISIS MATEMATICO II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6703,MEDIOS DE REPRESENTACION C,4,OBLIGATORIA,0,28-3-24-40-5-27
6201,FISICA IA,8,OBLIGATORIA,0,28-3-24-40-5-27
7501,COMPUTACION,4,OBLIGATORIA,0,28-3-24-40-5-27
6108,ALGEBRA II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6204,FISICA II B,6,OBLIGATORIA,0,6103-6201
6301,QUIMICA,6,OBLIGATORIA,0,28-3-24-40-5-27
6106,PROBABILIDAD  ESTADISTICA A,4,OBLIGATORIA,0,6103
6110,ANALISIS MATEMATICO III A,6,OBLIGATORIA,0,6103-6108
6501,ELECTROTECNIA,8,OBLIGATORIA,0,6108-6204
6710,CALOR Y TERMODINAMICA,6,OBLIGATORIA,0,6201
6205,FISICA III,10,OBLIGATORIA,0,6108-6204-6301
6208,ELECTROMAGNETISMO A,6,OBLIGATORIA,0,6108-6204
6405,ESTATICA Y RESISTENCIA DE MATERIALES B,6,OBLIGATORIA,0,6103-6108-6201
6536,MEDIDAS ELECTRICAS,6,OBLIGATORIA,0,6501
6509,TEORIA DE CIRCUITOS,6,OBLIGATORIA,0,6110-6501
6604,ELECTRONICA I,8,OBLIGATORIA,0,6205-6501
7512,ANALISIS NUMERICO I,6,OBLIGATORIA,0,6103-6108-7501
6510,TEORIA DE CAMPOS,6,OBLIGATORIA,0,6208
6511,TECNOLOGIA DE MATERIALES I,6,OBLIGATORIA,0,6205-6536
6736,MECANICA APLICADA,6,OBLIGATORIA,0,6405
6512,TECNOLOGIA DE MATERIALES II,4,OBLIGATORIA,0,6511
6513,TEORIA DE MAQUINAS ELECTRICAS I,8,OBLIGATORIA,0,6208-6501
6737,MAQUINAS ENERGETICAS,6,OBLIGATORIA,0,6710
6514,TEORIA DE MAQUINAS ELECTRICAS II,6,OBLIGATORIA,0,6513
6605,ELECTRONICA II,6,OBLIGATORIA,0,6604
7139,LEGISLACION Y EJERCICIO PROFESIONAL DE LA INGENIERIA ELECTRICISTA B,4,OBLIGATORIA,100,
6500,TESIS DE INGENIERIA ELECTRICISTA,18,TESIS,140,
6599,TRABAJO PROFESIONAL DE INGENIERIA ELECTRICISTA,12,TP_PROFESIONAL,0,28-3-24-40-5-27
6211,MECANICA RACIONAL,4,ELECTIVA,0,6110-6201
6515,SISTEMAS ELECTRICOS DE POTENCIA,4,ELECTIVA,0,6509-6510-6513
6516,TRANSMISION Y DISTRIBUCION DE LA ENERGIA ELECTRICA,4,ELECTIVA,0,6509-6513
6517,CENTRALES ELECTRICAS,4,ELECTIVA,0,6513-6737
6522,APLICACIONES INDUSTRIALES DE LA ENERGIA ELECTRICA,6,ELECTIVA,0,6512-6604-6710
6525,CONSTRUCCIONES ELECTROMECANICAS,6,ELECTIVA,0,6512-6513-6736
6528,CONTROL DE PROCESOS INDUSTRAILES,4,ELECTIVA,0,6509
