CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
28,ANALISIS MATEMATICO,0,CBC,0,
3,FISICA,0,CBC,0,
24,INTRODUCCION AL CONOCIMIENTO DE LA SOCIEDAD Y EL ESTADO,0,CBC,0,
40,INTRODUCCION AL PENSAMIENTO CIENTIFICO,0,CBC,0,
5,QUIMICA,0,CBC,0,
27,ALGEBRA,0,CBC,0,
6103,ANALISIS MATEMATICO II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6201,FISICA IA,8,OBLIGATORIA,0,28-3-24-40-5-27
7540,ALGORITMOS Y PROGRAMACION I,6,OBLIGATORIA,0,28-3-24-40-5-27
6108,ALGEBRA II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6203,FISICA II A,8,OBLIGATORIA,0,6103-6201
6301,QUIMICA,6,OBLIGATORIA,0,28-3-24-40-5-27
7541,ALGORITMOS Y PROGRAMACION II,6,OBLIGATORIA,0,7540
6215,FISICA III D,4,OBLIGATORIA,0,6108-6203-6301
6602,LABORATORIO,6,OBLIGATORIA,0,6203
6670,ESTRUCTURA DEL COMPUTADOR,6,OBLIGATORIA,0,6108-6203-7541
7507,ALGORITMOS Y PROGRAMACION III,6,OBLIGATORIA,0,7541
7512,ANALISIS NUMERICO I,6,OBLIGATORIA,0,6103-6108-7541
6109,PROBABILIDAD  ESTADISTICA B,6,OBLIGATORIA,0,6103-6108
6110,ANALISIS MATEMATICO III A,6,OBLIGATORIA,0,6103-6108
6620,ORGANIZACION DE COMPUTADORAS,6,OBLIGATORIA,0,6602-6670
7506,ORGANIZACION DE DATOS,6,OBLIGATORIA,0,6670-7541
7542,TALLER DE PROGRAMACION I,4,OBLIGATORIA,0,6670-7512-7541
7112,ESTRUCTURA DE LAS ORGANIZACIONES,6,OBLIGATORIA,0,7506
7114,MODELOS Y OPTIMIZACION I,6,OBLIGATORIA,0,6110-6203-6301-7542
7508,SISTEMAS OPERATIVOS,6,OBLIGATORIA,0,7506
7509,ANALISIS DE LA INFORMACION,6,OBLIGATORIA,0,7507-7542
7510,TECNICAS DE DISEÑO,6,OBLIGATORIA,0,7508-7509
7515,BASE DE DATOS,6,OBLIGATORIA,0,7506-7509
7543,INTRODUCCION A LOS SISTEMAS DISTRIBUIDOS,6,OBLIGATORIA,0,6620-6215-7508
7552,TALLER DE PROGRAMACION II,4,OBLIGATORIA,0,7114-7507-7542
7140,LEGISLACION Y EJERCICIO PROFESIONAL DE LA INGENIERIA EN INFORMATICA,4,OBLIGATORIA,140,
7500,TESIS,24,TESIS,140,
7599,TRABAJO PROFESIONAL,12,TP_PROFESIONAL,140,
7113,INFORMACION EN LAS ORGANIZACIONES,6,GESTION,0,7112
7544,ADMINISTRACION Y CONTROL DE PROYECTOS INFORMATICOS I,6,GESTION,0,7112-7510
7545,TALLER DE DESARROLLO DE PROYECTOS I,6,GESTION,0,7510
7546,ADMINISTRACION Y CONTROL DE PROYECTOS INFORMATICOS II,6,GESTION,0,7544
7547,TALLER DE DESARROLLO DE PROYECTOS II,6,GESTION,0,7544-7545
7548,CALIDAD EN DESARROLLO DE SISTEMAS,4,GESTION,0,7545
6606,ANALISIS DE CIRCUITOS,10,DISTRIBUIDOS,0,6110-6203
7559,TECNICAS DE PROGRAMACION CONCURRENTE I,6,DISTRIBUIDOS,0,7508
