CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
28,ANALISIS MATEMATICO,0,CBC,0,
3,FISICA,0,CBC,0,
24,INTRODUCCION AL CONOCIMIENTO DE LA SOCIEDAD Y EL ESTADO,0,CBC,0,
40,INTRODUCCION AL PENSAMIENTO CIENTIFICO,0,CBC,0,
5,QUIMICA,0,CBC,0,
27,ALGEBRA,0,CBC,0,
6103,ANALISIS MATEMATICO II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6201,FISICA IA,8,OBLIGATORIA,0,28-3-24-40-5-27
6301,QUIMICA,6,OBLIGATORIA,0,28-3-24-40-5-27
6106,PROBABILIDAD Y ESTADISTICA A,4,OBLIGATORIA,0,6103
6108,ALGEBRA II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6203,FISICA II A,8,OBLIGATORIA,0,6103-6201
6311,QUIMICA APLICADA A,6,OBLIGATORIA,0,6301
6404,ESTATICA Y RESISTENCIA DE MATERIALES A,8,OBLIGATORIA,0,6103-6108-6201
6503,ELECTROTECNICA GENERAL A,8,OBLIGATORIA,0,6108-6203
6703,MEDIOS DE REPRESENTACION C,4,OBLIGATORIA,0,28-3-24-40-5-27
7501,COMPUTACION,4,OBLIGATORIA,0,28-3-24-40-5-27
6752,TERMODINAMICA B,4,OBLIGATORIA,0,6203
7101,INTRODUCCION A LA ECONOMIA Y ORGANIZACION DE LA EMPRESA,4,OBLIGATORIA,48,
7201,MATERIALES INDUSTRIALES I,6,OBLIGATORIA,0,6311-6404
7512,ANALISIS NUMERICO I,6,OBLIGATORIA,0,6103-6108-7501
6712,MECANISMOS B,6,OBLIGATORIA,0,6404-6703
6751,MAQUINAS TERMICAS,4,OBLIGATORIA,0,6752
6903,MECANICA DE LOS FLUIDOS A,6,OBLIGATORIA,0,6103-6108-6201
7103,ESTADISTICA TECNICA,6,OBLIGATORIA,0,6106
7104,ORGANIZACION INDUSTRIAL I,4,OBLIGATORIA,0,6106-7101
7105,ORGANIZACION INDUSTRIAL II,4,OBLIGATORIA,0,7104
7106,ESTRUCTURA ECONOMICA ARGENTINA,6,OBLIGATORIA,0,7101
7202,INDUSTRIAS I,6,OBLIGATORIA,0,6752-6903-7201
7107,INVESTIGACION OPERATIVA,8,OBLIGATORIA,0,7103
7204,INDUSTRIA DE PROCESOS DE CONFORMACION,8,OBLIGATORIA,0,6703-6712-7105-7201
7218,INDUSTRIAS II,8,OBLIGATORIA,0,7202
7108,ORGANIZACION INDUSTRIAL III,6,OBLIGATORIA,0,7105
7205,ARQUITECTURA INDUSTRIAL,4,OBLIGATORIA,0,6404-7218
7206,AUTOMATIZACION INDUSTRIAL,4,OBLIGATORIA,0,6503-6712-7218
7701,HIGIENE Y SEGURIDAD DEL TRABAJO,4,OBLIGATORIA,0,7202
7150,INGENIERIA ECONOMICA I,4,OBLIGATORIA,0,7105-7106
7207,INDUSTRIAS III,6,OBLIGATORIA,0,6503-7105-7218
7200,TESIS DE INGENIERIA INDUSTRIAL,18,TESIS,140,
7122,LEGISLACION Y EJERCICIO PROFESIONAL DE LA INGENIERIA INDUSTRIAL,4,OBLIGATORIA,100,
7151,INGENIERIA ECONOMICA II,4,OBLIGATORIA,0,7150
7702,INTRODUCCION A LA INGENIERIA AMBIENTAL,4,OBLIGATORIA,0,7701
7299,TRABAJO PROFESIONAL DE INGENIERIA INDUSTRIAL,18,TP_PROFESIONAL,0,7108-7202-7205-7218
6110,ANALISIS MATEMATICO III,8,ELECTIVA,0,6103-6108
6206,MECANICA I,6,ELECTIVA,0,6103-6108-6201
6207,MECANICA II,4,ELECTIVA,0,6110-6206
6213,FISICA III C,6,ELECTIVA,0,6108-6203-6301
6717,TALLER,4,ELECTIVA,0,6311-6703-6712
7132,INVESTIGACION OPERATIVA SUPERIOR,4,ELECTIVA,0,7107
7133,COMERCIALIZACION DE PRODUCTOS INDUSTRIALES,4,ELECTIVA,0,7108
7134,GESTION PRESUPUESTARIA,4,ELECTIVA,0,7151
7135,ESTADISTICA TECNICA SUPERIOR,6,ELECTIVA,0,7103
7136,GESTION DE CALIDAD,4,ELECTIVA,0,7103-7108
7137,DIRECCION DE MANUFACTURA,6,ELECTIVA,0,7108
7143,LOGISTICA INTEGRAL,4,ELECTIVA,0,7108
7144,RECURSOS HUMANOS,4,ELECTIVA,0,7105
7145,INFORMATICA PARA LA GESTION DE EMPRESAS,4,ELECTIVA,0,7108
7209,INDUSTRIAS PLASTICAS,4,ELECTIVA,0,7218
7210,INDUSTRIAS DE CELULOSA Y PAPEL,4,ELECTIVA,0,7218
7211,INDUSTRIAS PETROQUIMICAS,4,ELECTIVA,0,7218
7212,INDUSTRIAS TEXTILES,4,ELECTIVA,0,7202
7213,MATERIALES INDUSTRIALES II,4,ELECTIVA,0,7201
7214,DISEÑO DE PRODUCTOS,4,ELECTIVA,0,7105-7201
7215,INDUSTRIAS DE LA ALIMENTACION,4,ELECTIVA,0,7218
7217,INDUSTRIAS PETROLIFERAS,4,ELECTIVA,0,7218
7801,IDIOMA INGLES,4,ELECTIVA,0,28-3-24-40-5-27
7802,IDIOMA ALEMAN,4,ELECTIVA,0,28-3-24-40-5-27
7803,IDIOMA FRANCES,4,ELECTIVA,0,28-3-24-40-5-27
7804,IDIOMA ITALIANO,4,ELECTIVA,0,28-3-24-40-5-27
7805,IDIOMA PORTUGUES,4,ELECTIVA,0,28-3-24-40-5-27
