CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
28,ANALISIS MATEMATICO,0,CBC,0,
3,FISICA,0,CBC,0,
24,INTRODUCCION AL CONOCIMIENTO DE LA SOCIEDAD Y EL ESTADO,0,CBC,0,
40,INTRODUCCION AL PENSAMIENTO CIENTIFICO,0,CBC,0,
5,QUIMICA,0,CBC,0,
27,ALGEBRA,0,CBC,0,
6103,ANALISIS MATEMATICO II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6201,FISICA IA,8,OBLIGATORIA,0,28-3-24-40-5-27
6108,ALGEBRA II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6203,FISICA II A,8,OBLIGATORIA,0,6103-6201
6301,QUIMICA,6,OBLIGATORIA,0,28-3-24-40-5-27
6702,MEDIOS DE REPRESENTACION B,6,OBLIGATORIA,0,28-3-24-40-5-27
7501,COMPUTACION,4,OBLIGATORIA,0,28-3-24-40-5-27
6206,MECANICA I,6,OBLIGATORIA,0,6103-6108-6201
6411,ESTABILIDAD I B,6,OBLIGATORIA,0,6201-6702
6707,DIBUJO MECANICO,2,OBLIGATORIA,0,6702
6713,CONOCIMIENTO DE MATERIALES I,6,OBLIGATORIA,0,6301
7512,ANALISIS NUMERICO I,6,OBLIGATORIA,0,6103-6108-7501
6106,PROBABILIDAD  ESTADISTICA A,4,OBLIGATORIA,0,6103
6412,ESTABILIDAD II B,8,OBLIGATORIA,0,6103-6108-6411-6713
6704,TERMODINAMICA I A,8,OBLIGATORIA,0,6108-6203
7123,ECONOMIA,4,OBLIGATORIA,0,6103
7301,ARQUITECTURA NAVAL I,6,OBLIGATORIA,0,6411-6702
6739,DIBUJO PARA INGENIEROS,6,OBLIGATORIA,0,6707
6530,ELECTROTECNIA GENERAL D,6,OBLIGATORIA,0,6203
6604,ELECTRONICA I,8,OBLIGATORIA,0,6203
6718,MECANICA DE FLUIDOS B,6,OBLIGATORIA,0,6704
7302,CONSTRUCCION NAVAL I,6,OBLIGATORIA,0,7301
6605,ELECTRONICA II,6,OBLIGATORIA,0,6604
7303,ARQUITECTURA NAVAL II,8,OBLIGATORIA,0,7301
7304,ESTRUCTURA DE BUQUES,6,OBLIGATORIA,0,6413-7302
7305,INTRODUCCION A MAQUINAS MARINAS,6,OBLIGATORIA,0,6704
7340,PRACTICAS EN ASTILLEROS I,4,OBLIGATORIA,0,7301-7302
6116,MATEMATICA PARA INGENIEROS,8,OBLIGATORIA,0,6103-6108
6413,ESTABILIDAD III B,6,OBLIGATORIA,0,6412
6712,MECANISMOS B,6,OBLIGATORIA,0,6412
7306,VIBRACIONES DE ESTRUCTURAS,6,OBLIGATORIA,0,6413-7307-7312
7307,CONSTRUCCION NAVAL II,6,OBLIGATORIA,0,7302
7309,PROYECTO DE BUQUES I,6,OBLIGATORIA,0,7303-7305-7307
7310,PROYECTO DE BUQUES II,6,OBLIGATORIA,0,7309
7311,MAQUINAS MARINAS I,6,OBLIGATORIA,0,6704
7312,MAQUINAS MARINAS II,6,OBLIGATORIA,0,6704
7341,PRACTICAS EN ASTILLEROS II,4,OBLIGATORIA,0,7340
7300,TESIS DE INGENIERIA NAVAL,18,TESIS,140,
7399,TRABAJO PROFESIONAL DE INGENIERIA NAVAL Y MECANICA,0,TP_PROFESIONAL,0,
6414,METODO DE LOS ELEMENTOS FINITOS,4,ELECTIVA,0,6413
6415,ESTABILIDAD IV B,6,ELECTIVA,0,6413
6416,ANALISIS EXPERIMENTAL DE TENSIONES,2,ELECTIVA,0,6413
6723,CONVERSION DE LA ENERGIA,2,ELECTIVA,120,
6738,TECNOLOGIA MECANICA B,4,ELECTIVA,0,6702-6713
6761,FUNDAMENTOS MATEMATICOS DE LA VISION EN ROBOTICA,6,ELECTIVA,0,6108-6702
6803,PUERTOS Y VIAS NAVEGABLES,6,ELECTIVA,0,28-3-24-40-5-27
6808,PLANEAMIENTO DEL TRANSPORTE,6,ELECTIVA,0,28-3-24-40-5-27
7107,INVESTIGACION OPERATIVA,8,ELECTIVA,0,7131
7131,ORGANIZACION DE LA PRODUCCION,6,ELECTIVA,0,7302
7134,GESTION PRESUPUESTARIA,4,ELECTIVA,0,7150-7151
7136,GESTION DE CALIDAD,4,ELECTIVA,0,6106-7307
7138,LEGISLACION GENERAL,4,ELECTIVA,0,7307
7150,INGENIERIA ECONOMICA I,4,ELECTIVA,0,7131
7151,INGENIERIA ECONOMICA II,4,ELECTIVA,0,7150
7206,AUTOMATIZACION INDUSTRIAL,4,ELECTIVA,0,28-3-24-40-5-27
7314,NAVEGACION,4,ELECTIVA,0,7302
7315,MAQUINAS MARINAS III,6,ELECTIVA,0,7305-7311-7312
7316,CONSTRUCCION NAVAL III,6,ELECTIVA,0,7307
7701,HIGIENE Y SEGURIDAD DEL TRABAJO,4,ELECTIVA,0,7302
7702,INTRODUCCION A LA INGENIERIA AMBIENTAL,4,ELECTIVA,0,7309
7801,IDIOMA INGLES,4,ELECTIVA,0,28-3-24-40-5-27
7802,IDIOMA ALEMAN,4,ELECTIVA,0,28-3-24-40-5-27
7803,IDIOMA FRANCES,4,ELECTIVA,0,28-3-24-40-5-27
7804,IDIOMA ITALIANO,4,ELECTIVA,0,28-3-24-40-5-27
7805,IDIOMA PORTUGUES,4,ELECTIVA,0,28-3-24-40-5-27
