CODIGO,NOMBRE,CREDITOS,TIPO,CREDITOS_MINIMOS_APROBADOS,CORRELATIVAS
28,ANALISIS MATEMATICO,0,CBC,0,
3,FISICA,0,CBC,0,
24,INTRODUCCION AL CONOCIMIENTO DE LA SOCIEDAD Y EL ESTADO,0,CBC,0,
40,INTRODUCCION AL PENSAMIENTO CIENTIFICO,0,CBC,0,
5,QUIMICA,0,CBC,0,
27,ALGEBRA,0,CBC,0,
6103,ANALISIS MATEMATICO II A,8,OBLIGATORIA,0,28-3-24-40-5-27
7540,ALGORITMOS Y PROGRAMACION I,6,OBLIGATORIA,0,28-3-24-40-5-27
6108,ALGEBRA II A,8,OBLIGATORIA,0,28-3-24-40-5-27
6107,MATEMATICA DISCRETA,6,OBLIGATORIA,0,28-3-24-40-5-27
7503,ORGANIZACION DEL COMPUTADOR,8,OBLIGATORIA,0,7540
7541,ALGORITMOS Y PROGRAMACION II,6,OBLIGATORIA,0,7540
6109,PROBABILIDAD  ESTADISTICA B,6,OBLIGATORIA,0,6103-6108
7112,ESTRUCTURA DE LAS ORGANIZACIONES,6,OBLIGATORIA,0,28-3-24-40-5-27
7506,ORGANIZACION DE DATOS,6,OBLIGATORIA,0,7503-7541
7507,ALGORITMOS Y PROGRAMACION III,6,OBLIGATORIA,0,7541
7113,INFORMACION EN LAS ORGANIZACIONES,6,OBLIGATORIA,0,7112
7508,SISTEMAS OPERATIVOS,6,OBLIGATORIA,0,7506
7509,ANALISIS DE LA INFORMACION,6,OBLIGATORIA,0,7506-7507
7542,TALLER DE PROGRAMACION I,4,OBLIGATORIA,0,7503-7541
7114,MODELOS Y OPTIMIZACION I,6,OBLIGATORIA,0,6103-6107-6108
7510,TECNICAS DE DISEÑO,6,OBLIGATORIA,0,7509
7515,BASE DE DATOS,6,OBLIGATORIA,0,7509
7115,MODELOS  OPTIMIZACION II,6,OBLIGATORIA,0,6109-7114
7116,ADMINISTRACION DE PROYECTOS,6,OBLIGATORIA,0,7112-7114
7517,IMPLANTACION DE SISTEMAS,6,OBLIGATORIA,0,7510
7518,PROYECTOS INFORMATICOS,6,OBLIGATORIA,0,7113-7116-7517
7117,DERECHO INFORMATICO,4,ELECTIVA,0,7517
7118,ESTRUCTURA ECONOMICA ARGENTINA,4,ELECTIVA,0,28-3-24-40-5-27
7120,MODELOS Y OPTIMIZACION III,6,ELECTIVA,0,7115
7158,ANALISIS Y RESOLUCION DE PROBLEMAS,6,ELECTIVA,0,7115
7146,INGENIERIA ECONOMICA,6,ELECTIVA,0,7113
7512,ANALISIS NUMERICO I,6,ELECTIVA,0,6103-6108-7541
7514,LENGUAJES FORMALES,6,ELECTIVA,0,6107
7516,LENGUAJES DE PROGRAMACION,6,ELECTIVA,0,7514
7519,TEORIA DE COMUNICACION,6,ELECTIVA,0,7508
7520,ARQUITECTURAS Y CONFIGURACION,6,ELECTIVA,0,7508
7522,CONCURRENCIA,8,ELECTIVA,0,7508
7523,INTELIGENCIA ARTIFICIAL,6,ELECTIVA,0,7541
7524,TEORIA DE LA PROGRAMACION,4,ELECTIVA,0,7541
7526,SIMULACION,6,ELECTIVA,0,6109
7527,ALGORITMOS Y PROGRAMACION IV,6,ELECTIVA,0,7507
7529,TEORIA DE ALGORITMOS I,6,ELECTIVA,0,6107-7541
7532,PRACTICA PROFESIONAL,3,ELECTIVA,0,7113-7510-7515
7533,REDES Y TELEPROCESAMIENTOS I,6,ELECTIVA,0,7508-7515
7534,REDES Y TELEPROCESAMIENTOS II,6,ELECTIVA,0,7533
7536,SEMINARIO Y LOGICA DE BASES DE DATOS,3,ELECTIVA,0,7515
7538,ANALISIS NUMERICO II A,6,ELECTIVA,0,7512
7539,APLICACIONES INFORMATICAS,6,ELECTIVA,0,7508-7509
7550,INTRODUCCION A LOS SISTEMAS INTELIGENTES,6,ELECTIVA,0,6109-7114
7571,SEMINARIO DE INGENIERIA EN INFORMATICA I,3,ELECTIVA,0,7507
7572,SEMINARIO DE INGENIERIA EN INFORMATICA II,3,ELECTIVA,0,7506-7541
7801,IDIOMA INGLES,4,ELECTIVA,0,28-3-24-40-5-27
7802,IDIOMA ALEMAN,4,ELECTIVA,0,28-3-24-40-5-27
7803,IDIOMA FRANCES,4,ELECTIVA,0,28-3-24-40-5-27
7804,IDIOMA ITALIANO,4,ELECTIVA,0,28-3-24-40-5-27
7805,IDIOMA PORTUGUES,4,ELECTIVA,0,28-3-24-40-5-27
